BU_CODE,LE,CH_CODE,LC_CODE,DEPT,BR_CODE,PL_CODE,CUSTOMER,SKU,INVORG,ACCOUNT,Sep,Oct,Nov,Dec,Jan,Feb
BU5300,NoLegalEntity,Chnl10,L243,MarginDept,B612,PL313,CG_CEE ALL OTHER,S1860347,IO663,GrossUnits,66.94649301,104.0886159,180.5654848,71.51407691,177.0887779,118.7900795
BU5300,NoLegalEntity,Chnl10,L243,MarginDept,B612,PL391,CG_CEE ALL OTHER,S1815334,IO663,GrossUnits,,2.746431626,3.931596029,5.391575663,2.527301092,1.895475819
BU5300,NoLegalEntity,Chnl10,L243,MarginDept,B120,PL021,CG_CEE ALL OTHER,S2019203,IO663,GrossUnits,241.2060302,241.0621697,392.614172,88.47662565,443.8550454,424.983044
BU5300,NoLegalEntity,Chnl10,L243,MarginDept,B120,PL021,CG_CEE ALL OTHER,S2019205,IO663,GrossUnits,261.4538318,418.3261309,470.6168972,104.5815327,522.9076636,522.9076636
BU5300,NoLegalEntity,Chnl10,L243,MarginDept,B120,PL021,CG_CEE ALL OTHER,S2095405,IO663,GrossUnits,64.35450995,64.51976961,64.72163507,13.40312679,60.30803777,67.00392566
BU5300,NoLegalEntity,Chnl10,L243,MarginDept,B120,PL021,CG_CEE ALL OTHER,S2095403,IO663,GrossUnits,0.731622618,0.801139223,0.952237257,,1.677047187,1.969838257
BU5300,NoLegalEntity,Chnl10,L243,MarginDept,B120,PL021,CG_CEE ALL OTHER,S2150260,IO663,GrossUnits,2.243371856,4.486743712,4.486743712,,4.486743712,2.243371856
BU5300,NoLegalEntity,Chnl10,L243,MarginDept,B120,PL021,CG_CEE ALL OTHER,S2150195,IO663,GrossUnits,4175.965892,5873.324124,6296.591446,1658.543422,3694.161561,3544.353658
BU5300,NoLegalEntity,Chnl10,L231,MarginDept,B710,PL082,CG_IRELAND OXO UK,S1200059,IO663,GrossUnits,0.446833953,,,,,
BU5300,NoLegalEntity,Chnl10,L231,MarginDept,B710,PL098,CG_IRELAND OXO UK,S1939240,IO663,GrossUnits,0.898569718,0.890608099,0.818589886,0.876994542,0.871190493,0.865966901
BU5300,NoLegalEntity,Chnl10,L231,MarginDept,B710,PL098,CG_IRELAND OXO UK,S1939241,IO663,GrossUnits,,,11.02235,,,
BU5300,NoLegalEntity,Chnl10,L231,MarginDept,B710,PL098,CG_IRELAND OXO UK,S1939243,IO663,GrossUnits,,0.0226,0.056,,0.00962,
BU5300,NoLegalEntity,Chnl10,L231,MarginDept,B710,PL098,CG_IRELAND OXO UK,S1827385,IO663,GrossUnits,1,1,1,1,1,1
BU5300,NoLegalEntity,Chnl10,L231,MarginDept,B710,PL098,CG_IRELAND OXO UK,S1939284,IO663,GrossUnits,4.57,,,,0.111612903,
BU5300,NoLegalEntity,Chnl10,L231,MarginDept,B710,PL098,CG_IRELAND OXO UK,S1939191,IO663,GrossUnits,4.507488921,,4.59787,,,
BU5300,NoLegalEntity,Chnl10,L231,MarginDept,B710,PL098,CG_IRELAND OXO UK,S1939193,IO663,GrossUnits,0.548238571,0.342857143,0.32,0.342857143,0.342857143,0.342857143
BU5300,NoLegalEntity,Chnl10,L231,MarginDept,B710,PL098,CG_IRELAND OXO UK,S1906146,IO663,GrossUnits,7.535441212,,6.24762,,,
BU5300,NoLegalEntity,Chnl10,L231,MarginDept,B710,PL809,CG_IRELAND OXO UK,S1525164,IO663,GrossUnits,4.863683144,4.471792704,4.468192554,8.634951916,4.50080411,4.50080411
BU5300,NoLegalEntity,Chnl10,L231,MarginDept,B710,PL809,CG_IRELAND OXO UK,S1607317,IO663,GrossUnits,10.25000449,,,,,
BU5300,NoLegalEntity,Chnl10,L231,MarginDept,B710,PL809,CG_IRELAND OXO UK,S2088160,IO663,GrossUnits,0.403661887,0.403661887,0.403661887,0.518235531,0.403661887,0.40366203
BU5300,NoLegalEntity,Chnl10,L231,MarginDept,B710,PL808,CG_IRELAND OXO UK,S1815324,IO663,GrossUnits,0.000187,,,0.004,,
BU5300,NoLegalEntity,Chnl10,L231,MarginDept,B710,PL808,CG_IRELAND OXO UK,S1772434,IO663,GrossUnits,2.217424052,2.191744561,2.191744561,2.217424052,2.217424052,2.217424052
BU5300,NoLegalEntity,Chnl10,L231,MarginDept,B710,PL808,CG_IRELAND OXO UK,S2088329,IO663,GrossUnits,2.432432432,2.231404959,2.432432432,2.432432432,2.432432432,2.432432432
BU5300,NoLegalEntity,Chnl10,L231,MarginDept,B710,PL808,CG_IRELAND OXO UK,S1815326,IO663,GrossUnits,2.16767,,2.16781,2.27432,,2.27443
BU5300,NoLegalEntity,Chnl10,L231,MarginDept,B710,PL808,CG_IRELAND OXO UK,S1815327,IO663,GrossUnits,3.192486189,3.376673639,3.35622,9.719093639,1.278008252,
BU5300,NoLegalEntity,Chnl10,L231,MarginDept,B710,PL808,CG_IRELAND OXO UK,S1985198,IO663,GrossUnits,1.623564366,1.623564366,1.623564366,5.770381328,1.623564366,1.623564366
BU5300,NoLegalEntity,Chnl10,L231,MarginDept,B710,PL807,CG_IRELAND OXO UK,S1994402,IO663,GrossUnits,,1.817978182,,,,
BU5300,NoLegalEntity,Chnl10,L231,MarginDept,B710,PL807,CG_IRELAND OXO UK,S1905449,IO663,GrossUnits,0.961438831,0.927026723,0.959259977,1.105940792,1.42375694,1.282246059
