sku	price	minimum-seller-allowed-price	maximum-seller-allowed-price	quantity	handling-time	fulfillment-channel
UT65202-1-V1-FBM	8.36					
UT65202-2-FBM	13.02					
UT65202-1-V2-FBM	8.36					
UT65202-3-FBM	17.26					
UT65202-6-FBM	29.98					
UT65202-9-FBM	42.7					
UT65202-4-FBM	21.5					
UT65202-12-FBM	55.42					
UT65203-3-FBM	17.26					
UT65203-1-FBM	8.36					
UT65203-1-V1-FBM	8.36					
UT65203-2-FBM	13.02					
UT65203-6-FBM	29.98					
UT65203-10-FBM	46.94					
UT65203-12-FBM	55.42					
UT65203-4-FBM	21.5					
UT65206-1-FBM	8.36					
UT65206-3-FBM	17.26					
UT65206-2-FBM	13.02					
UT65206-6-FBM	29.98					
UT65205-1-FBM	8.36					
UT65205-3-FBM	17.26					
UT65205-2-FBM	13.02					
UT65205-6-FBM	29.98					
UT65205-4-FBM	21.5					
UT65205-7-FBM	34.22					
UT65205-8-FBM	38.46					
UT65205-9-FBM	42.7					
UT65205-10-FBM	46.94					
UT65205-12-FBM	55.42					
UT93836-1-FBM	12.5					
UT65201-1-FBM	8.36					
UT65201-1-V1-FBM	8.36					
UT65201-2-FBM	13.02					
UT65201-3-FBM	17.26					
UT65201-2-V1-FBM	13.02					
UT65201-6-FBM	29.98					
UT65201-12-FBM	55.42					
